saa_code;saa_xcoord;saa_ycoord
83050328;0;0
83027177;0;0
83009522;0;0
83057034;0;0
83069104;0;0
70908004;0;0
74027227;0;0
85010371;0;0
20188284;0;0
80143776;0;0
85063198;0;0
80261909;0;0
84000588;0;0
88634040;0;0
74048280;0;0
71050195;0;0
88855220;0;0
80160176;0;0
71722025;0;0
87580340;0;0
71121053;0;0
88660010;0;0
74001867;0;0
70546606;0;0
76014134;0;0
20194019;0;0
79447078;0;0
80200352;0;0
80290064;0;0
80202341;0;0
88952325;0;0
80144675;0;0
85000208;0;0
86008102;0;0
55104703;0;0
83092189;0;0
71102087;0;0
80296350;0;0
54546861;0;0
80252866;0;0
71221028;0;0
81017855;0;0
84005058;0;0
76007344;0;0
86006114;0;0
71102053;0;0
79442012;0;0
88968000;0;0
80223313;0;0
85010330;0;0
85040238;0;0
84003030;0;0
85063115;0;0
86006171;0;0
80293225;0;0
54359059;0;0
54348128;0;0
72165506;0;0
70229104;0;0
56130419;0;0
83120279;0;0
83065094;0;0
83110254;0;0
81011486;0;0
83027037;0;0
74033522;0;0
71654100;0;0
80245852;0;0
83024406;0;0
71621094;0;0
74033894;0;0
20031815;0;0
94463679;0;0
71142232;0;0
84005454;0;0
85083147;0;0
71203059;0;0
83006049;0;0
88110155;0;0
80016410;0;0
80142075;1096109;2455845
80142117;1093531;2453689
81014738;0;0
80222976;0;0
80223768;0;0
81010900;0;0
80260257;0;0
80273599;0;0
80143800;0;0
71080044;0;0
87276741;639560;2497699
87276378;611130;2476100
87272104;611272;2468745
87313098;590226;2548013
87588483;615858;2514442
87588525;648572;2546585
87588558;0;0
87316380;621043;2516756
87316745;551312;2565400
87316331;632635;2533059
87316356;630522;2519716
87316265;650791;2549452
87299834;555920;2566989
87588657;616938;2516774
87313866;642896;2546303
87313429;654978;2550250
87299883;630753;2525471
87588616;632082;2523180
87299925;640173;2542189
87444299;472769;2455743
87307579;507326;2430962
87449850;515813;2471487
87401919;515092;2469271
87415646;518964;2471253
87415158;510610;2525070
87413344;461125;2513536
87005397;477530;2533766
87411611;487241;2525953
87430785;457670;2518296
87413013;439631;2501745
87411447;523240;2507150
87411454;527509;2512250
87381285;555198;2491659
87411272;499639;2508375
87411413;514773;2497697
87411652;483127;2541718
87415166;511343;2520706
87317529;531131;2563394
87576447;631375;2222363
87304659;583795;2221431
87576298;597993;2206307
87341156;594838;2215077
87576348;619154;2181066
87487264;596736;2224656
87576090;582032;2245647
87545731;529321;2354559
87137810;536693;2383555
87394494;509855;2342319
87394254;501957;2386942
87394296;486786;2370714
87141382;917303;2399868
80014985;0;0
85060020;0;0
80214502;0;0
84007054;0;0
84007062;0;0
80190660;0;0
80080820;0;0
10345017;0;0
54355024;0;0
78724807;0;0
71710000;0;0
54370155;0;0
54565820;0;0
88120626;0;0
85032250;0;0
85022046;0;0
85030163;0;0
84007526;0;0
87588681;0;0
87442475;0;0
87715912;908264;2198148
RATvince;607507;2427365
87381038;595582;2430392
87328328;602850;2425718
87758649;600296;2424618
87393066;595631;2427551
87547307;599372;2428992
87686006;602714;2427397
87384008;599114;2431062
87393322;595159;2426711
RATgrnor;601353;2431322
87986505;0;0
87983940;602383;2428301
87605428;0;0
RATclign;600600;2433262
87983163;602687;2426520
87588244;597795;2404078
87986901;0;0
87682518;617372;2392350
87433094;627416;2426551
87758342;617752;2427164
87432948;0;0
87272047;624069;2443765
87116772;641790;2429174
87116327;634774;2433967
87116012;628832;2416429
87432955;626976;2431586
87590513;617223;2403341
87987172;621887;2426983
53136465;0;0
76010082;0;0
70871509;0;0
74011106;0;0
76023150;0;0
83033043;0;0
80160515;0;0
54337550;0;0
86003228;0;0
81031716;0;0
85001594;0;0
80144584;0;0
85073809;0;0
76006122;0;0
71040071;0;0
71791053;0;0
71312058;0;0
81010850;0;0
55064378;0;0
86000471;0;0
80115816;0;0
55138883;0;0
88143081;0;0
76010140;0;0
80011346;0;0
10314013;0;0
88911651;0;0
84002980;0;0
88310050;0;0
10005496;0;0
70318600;0;0
74014399;0;0
84843070;0;0
80297028;0;0
81021394;0;0
83071118;0;0
70993006;0;0
86006965;0;0
83057125;0;0
71793090;0;0
56136937;0;0
