prefixe;libelle;codeuic;coderesarail;codemnemo;tarentaise;localite;banlieue;pang;bipass;particularites;nrzonebanlieue;indicgp;numdep
0;MAZAMET AV. MARECHAL JUIN;87440172;FRUEJ;FRUEJ;;0;0;0;0;0;0.0;N;81
0;MAZAMET AVENUE DE TOULOUSE;87165845;FRUEA;FRUEA;;0;0;0;0;0;0.0;N;81
0;MAZAMET LA RICHARDE;87177253;FRUKY;FRUKY;;0;0;0;0;0;0.0;N;81
0;MAZAMET LOCALITE;81061554;FRMZT;FRMZT;;1;0;0;0;0;0.0;N;81
0;MAZAMET LYCEE;87177279;FRUEB;FRUEB;;0;0;0;0;0;0.0;N;81
0;MAZANCOURT;87588582;FRZIU;FRZIU;;0;0;0;0;0;0.0;N;80
0;MAZERES S/ SALAT CENTRE;87169854;FRULD;FRULD;;0;0;0;0;0;0.0;N;31
0;MAZERES SUR LE SALAT;87618793;FRFXO;MAZER;;0;0;0;0;0;0.0;N;31
0;MAZINGARBE;87342121;FRCXL;MAZIN;;0;0;0;0;0;0.0;N;62
0;MEAUDRE;99382250;FRITQ;MEAUD;;0;0;0;1;;0.0;N;38
3;MEAUGON;87473124;FRDYA;LMEAU;;0;0;0;0;0;0.0;N;22
0;MEAULNE PLACE CENTRALE;87408906;FRMLN;FRMLN;;0;0;0;0;0;0.0;N;3
0;MEAUX;87116103;FRAKL;MEAUX;;0;0;0;0;0;75.0;N;77
5;MEDARD DE GUIZIERES;87584607;FRFEP;SMDGU;;0;0;0;0;0;0.0;N;33
5;MEDARD D'EYRANS;87582692;FRFCL;SMDEY;;0;0;0;0;0;0.0;N;33
5;MEDARD SUR ILLE;87478024;FREDL;SMDIL;;0;0;0;0;0;0.0;N;35
2;MEE;87682179;FRGLW;LMEE;;0;0;0;0;0;75.0;N;77
5;MEEN LE GRAND;87338053;FRMEE;FRMEE;;0;0;0;0;0;0.0;N;35
4;MEES;87751248;FRHXH;PEYRU;;0;0;0;0;0;0.0;N;4
0;MEGEVE;99741730;FRIZW;MEGEV;;0;0;0;1;0;0.0;N;74
0;MEHUN SUR YEVRE;87576116;FREXO;MEHUN;;0;0;0;0;0;0.0;N;18
0;MEHUN/INDRE;87279174;FRMHI;FRMHI;;0;0;0;0;0;0.0;N;36
3;MEILLERAIE;87487330;FRELA;LMEIL;;0;0;0;0;0;0.0;N;85
0;MELUN;87682005;FRMEL;MELUN;;0;0;0;0;0;75.0;O;77
3;MEMBROLLE SUR CHOISILLE;87571513;FRLRL;LMEMB;;0;0;0;0;0;0.0;O;37
0;MEMER;87442400;FRUFV;FRUFV;;0;0;0;0;0;0.0;N;12
0;MENARS;87574244;FREUI;MENAR;;0;0;0;0;0;0.0;N;41
0;MENCHHOFFEN;87213819;FRBXA;MENCH;;0;0;0;0;0;0.0;N;67
0;MENDE;87783605;FRMEN;MENDE;;0;0;0;0;0;0.0;O;48
6;MENEHOULD;87174870;FRBGI;SMEND;;0;0;0;0;0;0.0;N;51
0;MENERVILLE;87381616;FRDDL;MENER;;0;0;0;0;0;75.0;N;78
0;MENIL FLIN;87141390;FRASK;MENIL;;0;0;0;0;0;0.0;N;54
2;MENILOT;87214940;FRMNL;FRMNL;;0;0;0;0;0;0.0;N;10
3;MENITRE;87487884;FRELX;LMENI;;0;0;0;0;0;0.0;N;49
