region;annee;mois;regularite
Auvergne;2011;Janvier;93.3
Haute Normandie;2011;Janvier;95.3
Nord-Pas de Calais;2011;Janvier;90.6
Picardie;2011;Janvier;91.2
Alsace;2011;Février;95.8
Champagne-Ardenne;2011;Février;96.2
Lorraine;2011;Février;96.0
Rhône-Alpes;2011;Février;90.2
Basse Normandie;2011;Mars;96.8
Bretagne;2011;Mars;96.1
Languedoc-Roussillon;2011;Mars;91.4
Poitou-Charentes;2011;Mars;92.4
Aquitaine;2011;Avril;91.0
Basse Normandie;2011;Avril;95.2
Franche-Comté;2011;Avril;91.7
Pays de la Loire;2011;Avril;92.7
Ensemble des TER;2011;Avril;92.5
Centre;2011;Mai;89.5
Limousin;2011;Mai;94.5
Nord-Pas de Calais;2011;Mai;94.5
Rhône-Alpes;2011;Mai;89.5
Bretagne;2011;Juin;95.5
Languedoc-Roussillon;2011;Juin;88.6
Lorraine;2011;Juin;95.4
Poitou-Charentes;2011;Juin;93.2
Basse Normandie;2011;Juillet;95.2
Franche-Comté;2011;Juillet;91.0
Languedoc-Roussillon;2011;Juillet;86.2
Pays de la Loire;2011;Juillet;93.0
Aquitaine;2011;Août;91.5
Centre;2011;Août;93.7
Midi-Pyrénées;2011;Août;94.5
Provence-Alpes-Côte d'Azur;2011;Août;88.4
Ensemble des TER;2011;Août;93.9
Bourgogne;2011;Septembre;91.2
Limousin;2011;Septembre;95.0
Picardie;2011;Septembre;94.7
Provence-Alpes-Côte d'Azur;2011;Septembre;89.0
Auvergne;2011;Octobre;92.2
Languedoc-Roussillon;2011;Octobre;87.5
Pays de la Loire;2011;Octobre;91.6
Poitou-Charentes;2011;Octobre;93.9
Aquitaine;2011;Novembre;86.3
Franche-Comté;2011;Novembre;85.1
Midi-Pyrénées;2011;Novembre;88.9
Ensemble des TER;2011;Novembre;88.8
Bourgogne;2011;Décembre;91.2
Centre;2011;Décembre;90.2
Limousin;2011;Décembre;90.4
Alsace;2011;Janvier;94.9
Bretagne;2011;Janvier;96.4
Champagne-Ardenne;2011;Janvier;94.8
Lorraine;2011;Janvier;93.7
Rhône-Alpes;2011;Janvier;89.1
Basse Normandie;2011;Février;95.2
Bretagne;2011;Février;96.8
Languedoc-Roussillon;2011;Février;92.0
Poitou-Charentes;2011;Février;93.6
Aquitaine;2011;Mars;89.1
Franche-Comté;2011;Mars;90.3
Midi-Pyrénées;2011;Mars;91.9
Pays de la Loire;2011;Mars;93.4
Ensemble des TER;2011;Mars;92.9
Centre;2011;Avril;90.7
Limousin;2011;Avril;94.5
Midi-Pyrénées;2011;Avril;92.2
Provence-Alpes-Côte d'Azur;2011;Avril;90.6
Bourgogne;2011;Mai;90.0
Haute Normandie;2011;Mai;96.5
Lorraine;2011;Mai;95.5
Poitou-Charentes;2011;Mai;92.4
Basse Normandie;2011;Juin;95.1
Franche-Comté;2011;Juin;91.2
Pays de la Loire;2011;Juin;89.5
Ensemble des TER;2011;Juin;91.6
Aquitaine;2011;Juillet;89.7
Centre;2011;Juillet;92.9
Midi-Pyrénées;2011;Juillet;92.7
Provence-Alpes-Côte d'Azur;2011;Juillet;85.4
Ensemble des TER;2011;Juillet;92.7
Bourgogne;2011;Août;93.3
Limousin;2011;Août;95.2
Picardie;2011;Août;96.1
Auvergne;2011;Septembre;94.9
Champagne-Ardenne;2011;Septembre;92.7
Haute Normandie;2011;Septembre;96.4
Nord-Pas de Calais;2011;Septembre;93.5
Alsace;2011;Octobre;95.3
Bretagne;2011;Octobre;93.6
Franche-Comté;2011;Octobre;90.1
Midi-Pyrénées;2011;Octobre;88.0
Ensemble des TER;2011;Octobre;91.2
Bourgogne;2011;Novembre;88.2
Centre;2011;Novembre;84.7
Limousin;2011;Novembre;90.7
Provence-Alpes-Côte d'Azur;2011;Novembre;84.8
Auvergne;2011;Décembre;87.5
Haute Normandie;2011;Décembre;95.9
Nord-Pas de Calais;2011;Décembre;93.9
Midi-Pyrénées;2012;Janvier;90.1
Pays de la Loire;2012;Janvier;94.2
Auvergne;2009;Janvier;90.3
Champagne-Ardenne;2009;Janvier;93.9
Limousin;2009;Janvier;93.2
Picardie;2009;Janvier;90.6
