UIC;Remontée dans TVS National;Code TVS export TGD/ TGA;Libellé;affichage GeM;Info TIC;code QLT;code UIC 8;;
696 146;02/09/2011;COS;Cosne sur Loire;OUI;NON;FRGSH;87696146;;
584 516;28/08/2013;COU;Coutras;01/01/2013;;FRCOU;87584516;;
784 256;11/12/2012;COX;Collioure;12/12/2012;;FRXCU;87784256;;
276 691;Avant Avril 2011;CPE;Compiègne;OUI;OUI;FRXCP;87276691;;
722 710;26/02/2013;CPT;Chaponost - VIDES;OUI;Vides;FRCRR;87722710;;
721 530;05/02/2013;CRB;Charbonnières les Bains;OUI;;FRHCW;87721530;;
761 783;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CRE;Crest;01/01/2013;;FRCRE;87761783;;
741 009;Avant Avril 2011;CRL;Chambéry Challes les Eaux;OUI;OUI;FRCMF;87741009;;
575 142;Avant Avril 2011;CRT;Châtellerault;OUI;OUI;FRXCX;87575142;;
286 716;Via WS SUM VaQ Copyright SNCFProximités 16/05/2012;CRW;Croix - Wasquehal;10/05/2012;;FRCKH;87286716;;
613 232;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CRZ;Cransac;01/01/2013;;FRFSR;87613232;;
613 356;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CSD;Caussade (Tarn-et-Garonne);01/01/2013;;FRFTA;87613356;;
741 231;21/05/2013;CSK;Chamousset;OUI;;FRHOF;87741231;;
722 561;26/02/2013;CSR;Chasse-sur-Rhône;OUI;;FRCSR;87722561;;
725 002;Avant Avril 2011;CSS;Chalon sur Saône;OUI;NON;FRXCD;87725002;;
317 263;26/01/2012;CSV;Calais;OUI;OUI;FRAEA;87317263;;
116 582;Avant Avril 2011;CTH;Château Thierry;OUI;NON;FRXCY;87116582;;
485 110;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CTL;Châtelaillon;01/01/2013;;FREIL;87485110;;
615 468;16/04/2013;CTR;Castres;OUI;;FRMZQ;87615468;;
597 005;Avant Avril 2011;CTX;Châteauroux;OUI;OUI;FRCHR;87597005;;
615 039;Avant Avril 2011;CTY;Castelnaudary;23/03/2012;OUI;FRCTY;87615039;;
741 074;Avant Avril 2011;CUZ;Culoz;17/02/2012;NON;FRCUZ;87741074;;
741 116;29/10/2013;CWX;Chindrieux;NON;NON;FRHNX;87741116;;
181 222;05/03/2013;CXJ;Colmar Saint-Joseph;OUI;;FRBIV;87181222;;
402 297;05/03/2013;CXM;Colmar Mésanges - Pas de provenance à l'arrivée;OUI;;FRBIU;87402297;;
142 125;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;CYN;Culmont - Chalindrey;10/05/2012;;FRCCY;87142125;;
594 119;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CZE;Corrèze;01/01/2013;;FRFIP;87594119;;
611 079;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;CZG;Cazères-sur-Garonne;01/01/2013;;FRFPC;87611079;;
734 160;05/02/2013;CZJ;Le Cendre Orcet;OUI;;FRHKX;87734160;;
721 746;26/02/2013;CZK;Civrieux-d'Azergues;OUI;;FRHDF;87721746;;
721 415;26/02/2013;CZM;Chazay - Marcilly;OUI;;FRHCQ;87721415;;
672 139;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CZN;Coarraze Nay;01/01/2013;;FRGFB;87672139;;
316 075;05/03/2013;DAS;Dreuil-lès-Amiens;OUI;;FRCTM;87316075;;
673 202;Avant Avril 2011;DAX;Dax;OUI;OUI;FRACG;87673202;;
214 551;23/04/2013;DCN;Dachstein;OUI;;FRBYP;87214551;;
721 449;05/03/2013;DDJ;Dardilly le Jubin;OUI;;FRGRQ;87721449;;
721 480;05/03/2013;DDY;Dardilly les Mouilles;OUI;;FRGSP;87721480;;
212 183;21/05/2013;DEE;Dettwiller;OUI;;FRBUJ;87212183;;
415 018;02/09/2011;DEV;Dieppe;23/03/2012;NON;FRAFD;87415018;;
214 338;23/04/2013;DHM;Dorlisheim;OUI;;FRBXY;87214338;;
761 841;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;DIE;Die;01/01/2013;;FRDIE;87761841;;
713 008;16/04/2013;DJP;Dijon Porte Neuve;OUI;;FRGVW;87713008;;
713 040;Avant Avril 2011;DJV;Dijon;OUI;OUI;FRABA;87713040;;
281 006;Avant Avril 2011;DKQ;Dunkerque;OUI;OUI;FRADI;87281006;;
713 412;Avant Avril 2011;DLE;Dole;OUI;OUI;FRACE;87713412;;
721 738;29/10/2013;DLU;Dommartin - Lissieu;NON;NON;FRHDE;87721738;;
764 290;09/04/2013;DOE;Donzère;OUI;;FRIHM;87764290;;
345 009;Avant Avril 2011;DOI;Douai;OUI;OUI;FRXDN;87345009;;
478 073;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;DOL;Dol de Bretagne;10/05/2012;;FRDOL;87478073;;
286 435;02/09/2011;DON;Don Sainghin;23/03/2012;NON;FRDON;87286435;;
393 488;Avant Avril 2011;DRX;Dreux;OUI;NON;FRXDR;87393488;;
214 544;23/04/2013;DTM;Duttlenheim;OUI;;FRBYO;87214544;;
214 536;23/04/2013;DUP;Duppigheim;OUI;;FRBYN;87214536;;
172 064;23/04/2013;DVI;Deville;OUI;;FRBDD;87172064;;
696 484;02/09/2011;DZE;Decize;OUI;NON;FRGTH;87696484;;
214 106;21/05/2013;EBH;Ebersheim;OUI;;FRBXI;87214106;;
723 718;05/03/2013;ECH;Les Échets;OUI;;FRHFM;87723718;;
396 564;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;ECO;Ecommoy;01/01/2013;;FRDMM;87396564;;
710 731;29/10/2013;ECV;Ecole-Valentin;NON;NON;;87710731;;
721 506;05/03/2013;ECY;Écully la Demi-Lune;OUI;;FRHCU;87721506;;
214 148;16/04/2013;EEN;Erstein;OUI;;FRBXM;87214148;;
594 168;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;EGL;Egletons;01/01/2013;;FRFIU;87594168;;
725 895;Avant Avril 2011;EHR;Echirolles;17/02/2012;NON;FRECE;87725895;;
784 207;11/12/2012;ELN;Elne - Pas d'Arrivées;20/12/2012;;FRIOG;87784207;;
144 006;Avant Avril 2011;ELP;Epinal;OUI;OUI;FREPL;87144006;;
144 436;23/04/2013;ELS;Éloyes;OUI;;FRAYS;87144436;;
763 466;11/12/2012;EMB;Embrun;20/12/2012;;FRIGV;87763466;;
214 528;16/04/2013;ENZ;Entzheim;OUI;;FRBYM;87214528;;
386 763;23/04/2013;EPO;Épône - Mézières;OUI;;FRDGG;87386763;;
171 553;Avant Avril 2011;EPR;Epernay;OUI;OUI;FRXEP;87171553;;
722 579;05/03/2013;ESN;Estressin;OUI;;FRHEJ;87722579;;
317 065;11/05/2011;ETA;Etaples le Touquet;23/03/2012;NON;FRETA;87317065;;
745 679;Avant Avril 2011;EVI;Evian les Bains;OUI;NON;FRXEB;87745679;;
387 001;Avant Avril 2011;EVX;Evreux Normandie;OUI;NON;FREVX;87387001;;
641 241;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;EYG;Eygurande-Merlines;01/01/2013;;FREYG;87641241;;
582 478;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;FAT;Biganos-Facture;OUI;;FRFAC;87582478;;
313 742;21/05/2013;FBS;Feuquières - Broquiers;OUI;;FRCSJ;87313742;;
172 874;23/04/2013;FEP;Fépin;OUI;;FRBEQ;87172874;;
726 877;05/02/2013;FEU;Feurs;OUI;;FRHJB;87726877;;
722 538;05/03/2013;FEY;Feyzin;OUI;;FRHEG;87722538;;
212 266;14/05/2013;FHM;Fegersheim - Lipsheim;OUI;;FRBUP;87212266;;
281 071;26/01/2012;FHS;Calais Frethun;OUI;OUI;FRSTH;87281071;;
613 091;10/10/2012;FIG;Figeac;OUI;;;87613091;;
741 496;21/05/2013;FII;Les Abrets - Fitilieu;OUI;;FRHOS;87741496;;
721 704;09/04/2013;FLD;Les Flachères;OUI;;FRHDB;87721704;;
448 001;10/10/2012;FLS;Flers;OUI;;;87448001;;
696 229;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;FLT;Fourchambault;01/01/2013;;FRGSO;87696229;;
726 729;05/02/2013;FNY;Firminy (TER SEN);OUI;;FRFNY;87726729;;
193 003;Avant Avril 2011;FOB;Forbach;OUI;OUI;FRBQT;87193003;;
447 649;11/12/2012;FOL;Folligny;20/12/2012;;FRFOL;87447649;;
715 136;02/09/2011;FRA;Frasne;OUI;NON;FRFRA;87715136;;
141 077;Avant Avril 2011;FRD;Frouard;23/03/2012;NON;FRFRO;87141077;;
757 500;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;FRJ;Fréjus;01/01/2013;;FRAFN;87757500;;
773 556;16/04/2013;FRN;Frontignan;OUI;;FRIJK;87773556;;
722 702;05/03/2013;FRW;Francheville;OUI;;FRDAD;87722702;;
721 563;05/03/2013;FSL;Fleurieux-sur-l'Arbresle;OUI;;FRHCZ;87721563;;
324 095;Avant Avril 2011;FTU;Futuroscope;OUI;NON;FRTGO;87324095;;
172 098;23/04/2013;FUY;Fumay;OUI;;FRBDG;87172098;;
611 616;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;FXE;Foix;01/01/2013;;FRXFX;87611616;;
757 740;14/05/2013;FYS;La Frayère;OUI;;FRLAJ;87757740;;
415 620;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;GAA;Gaillon - Aubevoye;01/01/2013;;FRCOA;87415620;;
611 772;05/03/2013;GAH;Gimont Cahuzac;OUI;;FRFRB;87611772;;
732 404;02/09/2011;GAN;Gannat;OUI;NON;FRGAN;87732404;;
763 003;Avant Avril 2011;GAP;Gap;23/03/2012;NON;FRGAT;87763003;;
313 734;21/05/2013;GAR;Grandvilliers;OUI;;FRCSI;87313734;;
746 107;Avant Avril 2011;GAX;Grésy sur Aix;17/02/2012;NON;FRHTB;87746107;;
751 420;29/10/2013;GDS;Gardanne;NON;NON;FRHXP;87751420;;
473 207;05/02/2013;GGP;Guingamp;10/05/2012;;FRGGP;87473207;;
722 439;05/03/2013;GIC;Givors Canal;OUI;;FRAEO;87722439;;
684 290;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;GIE;Gien;01/01/2013;;FRGOH;87684290;;
381 244;29/10/2013;GIS;Gisors;NON;NON;FRDCP;87381244;;
722 405;29/01/2013;GIV;Givors;OUI;;FRHEE;87722405;;
181 552;09/04/2013;GLL;Saint-Gilles;OUI;;FRBIW;87181552;;
713 313;21/05/2013;GLS;Genlis;OUI;;FRGWP;87713313;;
