172 213;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;NSM;Nouvion sur Meuse;01/01/2013;;FRBDP;87172213;;;;777546;2525012
;;;;;;;87172213;777546;2525012;;781008;2525534
;;;;;;;87172221;781008;2525534;;783291;2525322
;;;;;;;87172239;783291;2525322;;0;0
172 254;19/04/2012;SED;Sedan;26/04/2012;NON;FRXSW;87172254;;;;787304;2525090
;;;;;;;87172254;787304;2525090;;754881;2505051
;;;;;;;87172262;754881;2505051;;0;0
172 270;19/04/2012;RTL;Rethel;26/04/2012;NON;FRBDT;87172270;;;;747440;2502720
;;;;;;;87172270;747440;2502720;;789210;2522415
;;;;;;;87172304;789210;2522415;;791476;2522705
;;;;;;;87172312;791476;2522705;;795094;2522768
;;;;;;;87172320;795094;2522768;;798389;2523061
;;;;;;;87172338;798389;2523061;;801904;2522727
;;;;;;;87172346;801904;2522727;;0;0
172 353;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CAG;Carignan Gare;01/01/2013;;FRBDZ;87172353;;;;804786;2518302
;;;;;;;87172353;804786;2518302;;806356;2517369
;;;;;;;87172387;806356;2517369;;808645;2516966
;;;;;;;87172395;808645;2516966;;811342;2514322
;;;;;;;87172411;811342;2514322;;744141;2532313
;;;;;;;87172544;744141;2532313;;791800;2520842
;;;;;;;87172700;791800;2520842;;0;0
172 858;23/04/2013;ACP;Anchamps;OUI;;FRBEP;87172858;;;;767869;2550724
;;;;;;;87172858;767869;2550724;;0;0
172 874;23/04/2013;FEP;Fépin;OUI;;FRBEQ;87172874;;;;771445;2561234
;;;;;;;87172874;771445;2561234;;788122;2524049
;;;;;;;87173302;788122;2524049;;755393;2429526
;;;;;;;87173336;755393;2429526;;461336;1773002
;;;;;;;87173377;461336;1773002;;810153;2512596
;;;;;;;87173401;810153;2512596;;458526;1781718
;;;;;;;87173468;458526;1781718;;459884;1780677
;;;;;;;87173500;459884;1780677;;457437;1758379
;;;;;;;87173542;457437;1758379;;460756;1774290
;;;;;;;87173633;460756;1774290;;458017;1761674
;;;;;;;87173823;458017;1761674;;460422;1775177
;;;;;;;87173906;460422;1775177;;0;0
174 003;Avant Avril 2011;CMP;Châlons en Champagne;OUI;OUI;FRXCR;87174003;;;;747458;2441588
;;;;;;;87174003;747458;2441588;;759112;2424897
;;;;;;;87174243;759112;2424897;;762080;2420152
;;;;;;;87174250;762080;2420152;;761488;2422459
;;;;;;;87174268;761488;2422459;;0;0
174 276;09/05/2012;VYF;Vitry-le-François;10/05/2012;NON;FRBFO;87174276;;;;765670;2415616
;;;;;;;87174276;765670;2415616;;777819;2416402
;;;;;;;87174326;777819;2416402;;0;0
174 409;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;MLP;Mourmelon le Petit;01/01/2013;;FRBFV;87174409;;;;744677;2461078
;;;;;;;87174409;744677;2461078;;899686;2362735
;;;;;;;87174425;899686;2362735;;747406;2456655
;;;;;;;87174433;747406;2456655;;749368;2452862
;;;;;;;87174441;749368;2452862;;0;0
;;;;;;;87174458;0;0;;881994;2371332
;;;;;;;87174482;881994;2371332;;923091;2345099
;;;;;;;87174490;923091;2345099;;924131;2345143
;;;;;;;87174508;924131;2345143;;425495;1755762
;;;;;;;87174797;425495;1755762;;761231;2460268
;;;;;;;87174821;761231;2460268;;440885;1793426
;;;;;;;87174839;440885;1793426;;787625;2457738
;;;;;;;87174870;787625;2457738;;0;0
175 000;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;SDZ;Saint-Dizier;01/01/2013;;FRBGJ;87175000;;;;792433;2408104
;;;;;;;87175000;792433;2408104;;794579.51;2428368.32
;;;;;;;87175018;794579.51;2428368.32;;0;0
175 042;Avant Avril 2011;BLD;Bar le Duc;OUI;OUI;FRXBD;87175042;;;;808106;2423210
;;;;;;;87175042;808106;2423210;;817458;2417359
;;;;;;;87175067;817458;2417359;;808783;2381795
;;;;;;;87175075;808783;2381795;;0;0
175 091;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;JQI;Joinville;01/01/2013;;FRBGN;87175091;;;;807742;2386587
;;;;;;;87175091;807742;2386587;;806908;2391841
;;;;;;;87175109;806908;2391841;;805029;2395342
;;;;;;;87175117;805029;2395342;;802298;2398279
;;;;;;;87175133;802298;2398279;;799860;2401689
;;;;;;;87175141;799860;2401689;;788696;2410268
;;;;;;;87175208;788696;2410268;;786480;2411852
;;;;;;;87175216;786480;2411852;;885932;2496145
;;;;;;;87175240;885932;2496145;;839142;2423547
;;;;;;;87175257;839142;2423547;;794761;2459791
;;;;;;;87175711;794761;2459791;;799341;2459974
;;;;;;;87175737;799341;2459974;;822044.83;2467360.46
;;;;;;;87175778;822044.83;2467360.46;;840795;2472826
;;;;;;;87175794;840795;2472826;;850110.95;2416295.19
;;;;;;;87175828;850110.95;2416295.19;;419277;1802037
;;;;;;;87176024;419277;1802037;;417621;1804465
;;;;;;;87176107;417621;1804465;;427853;1801807
;;;;;;;87176115;427853;1801807;;428017;1801877
;;;;;;;87176131;428017;1801877;;425679;1802165
;;;;;;;87176297;425679;1802165;;423999;1801607
;;;;;;;87176305;423999;1801607;;434886;1794829
;;;;;;;87176313;434886;1794829;;429177;1800164
;;;;;;;87176891;429177;1800164;;429723;1800223
;;;;;;;87176909;429723;1800223;;429540;1800305
;;;;;;;87176925;429540;1800305;;400953;1781087
;;;;;;;87176933;400953;1781087;;559933;1721103
;;;;;;;87176941;559933;1721103;;561755;1719158
;;;;;;;87176966;561755;1719158;;457074;1787255
;;;;;;;87176974;457074;1787255;;431987;1798053
;;;;;;;87176990;431987;1798053;;638683;1931378
;;;;;;;87177170;638683;1931378;;616049;1829829
;;;;;;;87177212;616049;1829829;;619885;1829580
;;;;;;;87177246;619885;1829580;;604456;1832885
;;;;;;;87177253;604456;1832885;;573633;1827649
;;;;;;;87177295;573633;1827649;;419446;1812941
;;;;;;;87177303;419446;1812941;;420963;1817801
